date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-04,SF,6654.29,SF401,6640.0,SF403,6772.0,2401,2403,-14.289999999999964,117.71000000000004,-0.0021474868092613564,0.017689340260192976
2024-01-04,SM,6215.0,SM401,6388.0,SM403,6416.0,2401,2403,173.0,201.0,0.027835880933225976,0.03234111021721642
2024-01-04,CY,25325.0,CY401,21100.0,CY405,21930.0,2401,2405,-4225.0,-3395.0,-0.16683119447186578,-0.1340572556762093
2024-01-04,UR,2503.33,UR401,2310.0,UR405,2159.0,2401,2405,-193.32999999999993,-344.3299999999999,-0.07722913079777738,-0.13754878501835555
2024-01-04,SA,2840.0,SA401,2301.0,SA405,1992.0,2401,2405,-539.0,-848.0,-0.18978873239436622,-0.2985915492957747
2024-01-04,PF,7512.0,PF401,6912.0,PF403,7374.0,2401,2403,-600.0,-138.0,-0.07987220447284349,-0.018370607028754038
2024-01-04,PX,8600.0,PX405,8528.0,PX405,8528.0,2405,2405,-72.0,-72.0,-0.008372093023255811,-0.008372093023255811
2024-01-04,SH,794.0,SH405,2736.0,SH405,2736.0,2405,2405,1942.0,1942.0,2.445843828715365,2.445843828715365
2024-01-04,CU,68788.33,cu2401,68480.0,cu2402,68390.0,2401,2402,-308.33000000000175,-398.33000000000175,-0.0044823009949507275,-0.00579066245684412
2024-01-04,AL,19396.67,al2401,19300.0,al2402,19215.0,2401,2402,-96.66999999999825,-181.66999999999825,-0.004983845165175138,-0.009366040665743092
2024-01-04,ZN,21590.0,zn2401,21365.0,zn2402,21310.0,2401,2402,-225.0,-280.0,-0.010421491431218177,-0.012968967114404872
2024-01-04,PB,15850.0,pb2401,15955.0,pb2402,15965.0,2401,2402,105.0,115.0,0.0066246056782335305,0.007255520504731772
2024-01-04,NI,126750.0,ni2401,125020.0,ni2402,125400.0,2401,2402,-1730.0,-1350.0,-0.013648915187376764,-0.010650887573964485
2024-01-04,SN,210950.0,sn2401,211200.0,sn2402,211490.0,2401,2402,250.0,540.0,0.0011851149561508123,0.0025598483052855503
2024-01-04,AU,481.01,au2401,481.82,au2404,481.64,2401,2404,0.8100000000000023,0.6299999999999955,0.0016839566744974999,0.0013097440801645988
2024-01-04,AG,5848.33,ag2401,5850.0,ag2402,5862.0,2401,2402,1.6700000000000728,13.670000000000073,0.00028555160191023887,0.0023374194000680415
2024-01-04,RB,3968.44,rb2401,4030.0,rb2405,4046.0,2401,2405,61.559999999999945,77.55999999999995,0.015512392779026607,0.019544203767727364
2024-01-04,WR,4169.2,wr2401,4250.0,wr2405,4206.0,2401,2405,80.80000000000018,36.80000000000018,0.019380216828168484,0.008826633406888718
2024-01-04,HC,4120.0,hc2401,4124.0,hc2405,4147.0,2401,2405,4.0,27.0,0.000970873786407811,0.006553398058252391
2024-01-04,FU,5486.0,fu2402,3090.0,fu2403,3111.0,2402,2403,-2396.0,-2375.0,-0.4367480860371855,-0.43292016040831205
2024-01-04,BU,3466.57,bu2401,3654.0,bu2403,3709.0,2401,2403,187.42999999999984,242.42999999999984,0.05406785381515444,0.06993368084302354
2024-01-04,RU,12970.0,ru2401,13725.0,ru2405,13875.0,2401,2405,755.0,905.0,0.05821125674633776,0.06977640709329225
2024-01-04,SP,5870.0,sp2401,5770.0,sp2405,5882.0,2401,2405,-100.0,12.0,-0.017035775127768327,0.002044293015332155
2024-01-04,SS,13987.5,ss2401,13850.0,ss2402,13880.0,2401,2402,-137.5,-107.5,-0.009830205540661274,-0.007685433422698784
2024-01-04,BR,12470.0,br2401,12250.0,br2403,12355.0,2401,2403,-220.0,-115.0,-0.017642341619887758,-0.00922213311948672
2024-01-04,SI,15620.0,SI2401,14195.0,SI2402,14250.0,2401,2402,-1425.0,-1370.0,-0.09122919334186941,-0.08770806658130603
2024-01-04,LC,103000.0,LC2401,96150.0,LC2407,100450.0,2401,2407,-6850.0,-2550.0,-0.06650485436893205,-0.02475728155339807
2024-01-05,C,2488.57,c2401,2384.0,c2405,2395.0,2401,2405,-104.57000000000016,-93.57000000000016,-0.04202011597021593,-0.03759990677376979
2024-01-05,A,4800.0,a2401,4789.0,a2403,4828.0,2401,2403,-11.0,28.0,-0.002291666666666692,0.005833333333333357
2024-01-05,M,3848.0,m2401,3752.0,m2405,3205.0,2401,2405,-96.0,-643.0,-0.02494802494802495,-0.1670997920997921
2024-01-05,Y,7940.0,y2401,7850.0,y2405,7392.0,2401,2405,-90.0,-548.0,-0.01133501259445846,-0.06901763224181356
2024-01-05,P,7030.0,p2401,6950.0,p2405,7022.0,2401,2405,-80.0,-8.0,-0.011379800853485111,-0.001137980085348489
2024-01-05,JD,4325.0,jd2401,3815.0,jd2403,3472.0,2401,2403,-510.0,-853.0,-0.11791907514450872,-0.19722543352601152
2024-01-05,L,8242.86,l2401,7920.0,l2405,8127.0,2401,2405,-322.8600000000006,-115.86000000000058,-0.03916844396241115,-0.01405580102051962
2024-01-05,V,5628.0,v2401,5570.0,v2405,5824.0,2401,2405,-58.0,196.0,-0.010305614783226669,0.03482587064676612
2024-01-05,PP,7607.14,pp2401,7331.0,pp2405,7377.0,2401,2405,-276.1400000000003,-230.14000000000033,-0.0363001075305569,-0.030253156902594225
2024-01-05,J,2328.33,j2401,2382.0,j2405,2450.5,2401,2405,53.67000000000007,122.17000000000007,0.02305085619306535,0.05247108442531778
2024-01-05,JM,2445.0,jm2401,2000.0,jm2405,1846.0,2401,2405,-445.0,-599.0,-0.1820040899795501,-0.24498977505112474
2024-01-05,I,1078.22,i2401,1085.0,i2405,1000.0,2401,2405,6.779999999999973,-78.22000000000003,0.006288141566656025,-0.07254549164363489
2024-01-05,EG,4406.67,eg2401,4539.0,eg2405,4682.0,2401,2405,132.32999999999993,275.3299999999999,0.030029478041242008,0.062480285567106275
2024-01-05,EB,8510.0,eb2401,8263.0,eb2402,8366.0,2401,2402,-247.0,-144.0,-0.02902467685076382,-0.0169212690951821
2024-01-05,PG,4978.0,pg2401,4884.0,pg2402,4658.0,2401,2402,-94.0,-320.0,-0.01888308557653673,-0.06428284451586985
2024-01-05,LH,14300.0,lh2401,13195.0,lh2403,13580.0,2401,2403,-1105.0,-720.0,-0.07727272727272727,-0.05034965034965033
2024-01-05,WH,2830.0,WH401,3198.0,WH411,3198.0,2401,2411,368.0,368.0,0.13003533568904602,0.13003533568904602
2024-01-05,PM,2830.0,PM401,3122.0,PM411,3122.0,2401,2411,292.0,292.0,0.1031802120141343,0.1031802120141343
2024-01-05,CF,16566.5,CF401,15560.0,CF405,15615.0,2401,2405,-1006.5,-951.5,-0.0607551383816739,-0.057435185464642546
2024-01-05,SR,6712.0,SR401,6365.0,SR405,6308.0,2401,2405,-347.0,-404.0,-0.0516984505363528,-0.060190703218116814
2024-01-05,TA,5893.5,TA401,5836.0,TA405,5900.0,2401,2405,-57.5,6.5,-0.009756511410876412,0.0011029099855772717
2024-01-05,OI,7948.33,OI401,7788.0,OI405,7833.0,2401,2405,-160.32999999999993,-115.32999999999993,-0.020171532888040633,-0.014509966244481531
2024-01-05,MA,2409.17,MA401,2354.0,MA405,2386.0,2401,2405,-55.17000000000007,-23.170000000000073,-0.022900002905565042,-0.009617420107339902
2024-01-05,FG,1749.6000000000001,FG401,1795.0,FG405,1879.0,2401,2405,45.399999999999864,129.39999999999986,0.025948788294467118,0.07395976223136702
2024-01-05,RM,2895.0,RM401,2736.0,RM403,2711.0,2401,2403,-159.0,-184.0,-0.05492227979274611,-0.06355785837651118
2024-01-05,SF,6640.0,SF401,6672.0,SF403,6750.0,2401,2403,32.0,110.0,0.004819277108433662,0.016566265060240948
2024-01-05,SM,6180.0,SM401,6368.0,SM403,6406.0,2401,2403,188.0,226.0,0.030420711974110004,0.036569579288025844
2024-01-05,CY,25325.0,CY401,20915.0,CY405,21905.0,2401,2405,-4410.0,-3420.0,-0.17413622902270487,-0.13504442250740378
2024-01-05,UR,2508.33,UR401,2277.0,UR405,2161.0,2401,2405,-231.32999999999993,-347.3299999999999,-0.09222470727535848,-0.1384706159077952
2024-01-05,SA,2840.0,SA401,2300.0,SA405,1940.0,2401,2405,-540.0,-900.0,-0.1901408450704225,-0.31690140845070425
2024-01-05,PF,7512.0,PF401,6912.0,PF403,7392.0,2401,2403,-600.0,-120.0,-0.07987220447284349,-0.015974440894568676
2024-01-05,PX,8600.0,PX405,8558.0,PX405,8558.0,2405,2405,-42.0,-42.0,-0.0048837209302325935,-0.0048837209302325935
2024-01-05,SH,788.0,SH405,2745.0,SH405,2745.0,2405,2405,1957.0,1957.0,2.483502538071066,2.483502538071066
2024-01-05,CU,68795.0,cu2401,68460.0,cu2402,68390.0,2401,2402,-335.0,-405.0,-0.004869539937495504,-0.005887055745330327
